screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
MissBloomgr,2021-01-30T10:47:10Z,Ελισάβετ Μουτάφη | Η πρώην σύντροφος του Γιώργου Κιμούλη στηρίζει δημόσια τη Ζέτα Δούκα https://t.co/FATR4qdWKX,,,"To Missbloom αναδεικνύει τις κορυφαίες τάσεις, τις τελευταίες ειδήσεις και τις πιο σημαντικές στιγμές στη γυναικεία μόδα, την ομορφιά και την ενημέρωση.",Echobox,el,1355467585295437824
Kostas_Thoneick,2021-01-30T10:06:27Z,Ωραίος ο Μπιμπιλας «δεν ειναι άποψη» τ να λέει η Διαβάτη δν ξέρω τη Ζετα Δούκα τον έναν κ τον άλλο κ εν παση περίπτωσει ακόμα κ να μην τους ξέρει(πράγμα ΑΠΙΘΑΝΟ) καλύτερα να σιωπήσει απ το να εκθέτει ετσι τον εαυτό της λέγοντας μπούρδες σε ενα θέμα τοσο σοβαρό!!    #elaxamogela,,,Προεδρος #katourlides || we are one || https://t.co/dgiMWXvIvT,Twitter for iPhone,el,1355457337243410434
eleni37378487,2021-01-30T09:16:03Z,"#elaxamogela Αυτο που καταλαβα ειναι πως και οι 6 μιλησαν για ασχημη συμπεριφορα αλλα ουσιαστικα δημοσια για κακοποιηση ψυχικη,λεκτικη κλπ μόνο η Ζετα Δουκα και η Ευδοκια Ρουμελιωτη δηλωσαν.Αυτο καταλαβα",,,,Twitter Web App,el,1355444656629276673
4NHVOYmwLCiB68m,2021-01-30T09:12:54Z,#MeToo #metooGR #Σπυροπουλος #Κιμουλης #Ζετα_Δουκα https://t.co/JaxUplRLYA,,,,Twitter Web App,,1355443862886559744
katerinio123,2021-01-30T09:11:14Z,"Σταματηστε τις ανώνυμες καταγγελίες. Δικαιολογίες όπως είναι μεγάλος σε ηλικία ή έχει οικογένεια ή ξέρω γω τι, δε χωράνε. Ή το λες επώνυμα ή το κρατάς για σένα, θάβοντας το ή ζώντας μ´αυτο οπως ζουσες. Μονο κακό κάνει το ανώνυμο  #Ζετα_Δουκα",,,,Twitter for iPhone,el,1355443443464597504
DanaiF4,2021-01-30T09:07:49Z,"Στηρίζουν τις επώνυμες που βγαίνουν ,ενώ ξέρουν και άσημες κακοποιημενες στην γειτονιά τους ,στην δουλειά τους στο σόι τους.Και κάνουν ότι δεν ξέρουν τίποτα ,γιατί δεν θέλει να πάρει μέρος.Υποκρισία λέγεται.Να το θυμάστε όλοι εσείς οι δικαστές. #elaxamogela #MeToo #Ζετα_Δουκα",,,"Ό,τι γράφω το πιστεύω,το υποστηρίζω και το εννοώ. απλό είναι 💫






https://t.co/frjFcUG9bt",Twitter for Android,el,1355442585150619648
Littlebeach10,2021-01-30T08:48:29Z,"Η Ζέτα Δούκα έχει τα πιο πολλά κοχονες,από όλους τους!Με την πράξη της πέρασε στην ιστορια.#Κιμουλης #Σπυροπουλος#ΖεταΔουκα",,,,Twitter Web App,el,1355437716469665792
DanaiF4,2021-01-30T08:47:48Z,"Συμπαθώ πολύ Ζέτα όλα αυτά τα χρόνια που την βλέπω στην τηλεόραση, πάντα σκαλωνα όταν την έβλεπα υπερβολικά αδύνατη και όλο αυτό που τράβηξε τόσα χρόνια. Που να φανταστώ τι τράβηξε η γυναίκα. Στηρίζω #Ζετα_Δουκα  
#elaxamogela",,,"Ό,τι γράφω το πιστεύω,το υποστηρίζω και το εννοώ. απλό είναι 💫






https://t.co/frjFcUG9bt",Twitter for Android,el,1355437547426635778
Kostas_Thoneick,2021-01-30T08:41:27Z,Βλέπω πάλι τώρα τη Ζέτα Δούκα πραγματικά η εξομολόγηση της ήταν κατι παραπάνω απο συγκλονιστική μου δημιουργεί κόμπο στο στομάχι μόνο σεβασμός στην κοπέλα μόνο σεβασμός 🙌🏻❤️ #elaxamogela,,,Προεδρος #katourlides || we are one || https://t.co/dgiMWXvIvT,Twitter for iPhone,el,1355435946330771456
GrPressing,2021-01-30T08:14:00Z,Το ξέσπασμα της Έλενας Ακρίτα για τη σωρεία καταγγελιών από ηθοποιούς: “Το να βγαίνει ο κάθε πικραμένος και να λέει…” https://t.co/2EPPXHc2k7 #Σπυροπουλος #Σπυρόπουλος #Σταροβας #Κιμουλης #ΖεταΔουκα #Ζετα_Δουκα #Facebook #photography #SaturdayVibes #news #BreakingNews #Μποτση,,,ΜΜΕ,Twitter Web App,el,1355429039679397889
hermesnewsgr,2021-01-30T08:02:45Z,"Ζέτα Δούκα: Η πρώτη ανάρτησή της μετά τις καταγγελίες για Κιμούλη - ""Μου δίνετε δύναμη"" https://t.co/zfesFibXoP",,,Η είδηση σε πρώτη γραμμή,IFTTT,el,1355426209451147266
