screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
showtime_cy,2021-01-30T10:54:01Z,"AΠΟΣΤΟΛΟΣ ΓΚΛΕΤΣΟΣ - ""ΓΙΑ ΝΑ ΔΟΥΛΕΨΕΙΣ ΠΡΕΠΕΙ ΝΑ ΚΟΙΜΗΘΕΙΣ ΜΕ ΕΝΑΝ ΣΚ@ΤΟΓΕΡΟ"" ... 
https://t.co/WlZ7bwudxp 
#MeToo https://t.co/mYjF6x0L5t",,,https://t.co/b86VeVcKrs,Twitter Web App,el,1355469311368978435
EvaMprousko,2021-01-30T10:51:33Z,Διαβάζω συνεχώς τη δημοσίευση και τα σχόλια κάτω από αυτη της #Μποτση και ανατριχιάζω και δακρύζω ρε φίλε. Είμαστε όλοι μαζί τους αλήθεια θα το λέμε συνεχεια #MeToo,,,Capricorn ♑️,Twitter for iPhone,el,1355468690356113411
DailyPostgr,2021-01-30T10:46:50Z,"«Το #metoo δεν είναι γκόσιπ, κατινιά κι αυτοπροβολή»
https://t.co/G3Ppah0WS0",,,"Τα λέμε καθαρά, χωρίς περιορισμούς. Δεν μιλάμε Γιαμαμαμότο. Αυτό δεν είναι υπόσχεση, είναι η μόνη μας δέσμευση.",Twitter Web App,el,1355467501245784067
KGhelly,2021-01-30T10:41:47Z,"#Σπυρόπουλος ""Συγγνώμη, ήταν τυχαίο"".... πραγματικά υπήρξε συνάδελφος που δέχτηκε να μεταφέρει τέτοια δηλωση εντολέα του που κατηγορείται για αδικήματα γενετήσιας αξιοπρέπειας? Αλήθεια τώρα? #metoo",,,"Δικηγόρος, Εθελόντρια Σαμαρείτισσα του Ελληνικού Ερυθρού Σταυρού",Twitter Web App,el,1355466231634157569
qqIBIAmRKZtEmPW,2021-01-30T10:26:43Z,"Η φάση θυμίζει μια κατσαρόλα κλεισμένη με καπάκι. Που βράζει, βράζει και στο τέλος ξεχυνεται το ζουμί και σου υπενθυμίζει ότι είναι απαραίτητο το ξαφρισμα. Το περιττό και το βρώμικο πρέπει να βγει στην άκρη. Κάπως έτσι η κοινωνία αλλάζει. Ειναι ώρα κορίτσια 💕 #MeToo",,,Πόσο χρόνο έχω? 🤔🤔🤔,Twitter for Android,el,1355462438490157058
melpomeni_p,2021-01-30T10:10:13Z,"ο κ.Χρήστος Κιούσης   
στο άρθρο του έγραψε κάτι που σκέφτομαι τόσο καιρό κ εγώ ως απάντηση στο γιατί τώρα .Ως γυναίκα κ φίλη έχω  ζήσει αρκετά περιστατικά  βίας στο χώρο εργασίας μου παρόλα αυτά είχα το κουράγιο κ τους σωστους ανθρώπους να μιλήσω για αυτό.💕 #MeToo https://t.co/2tAUzgoft2",,,😎✌🏻❤️,Twitter for iPhone,el,1355458288465436674
annetakavadia,2021-01-30T10:05:40Z,"Το σημαντικό είναι ότι άνοιξαν στόματα. 
Ότι το θύμα συνειδητοποιεί πως δεν φταίει.
Ότι μιλάνε γι΄αυτό στη γειτονιά, χωρίς καμία διάθεση κουτσομπολιού. 
Ότι βλέπουμε πανό σαν κι αυτό.

Γιατί τώρα; Γιατί τώρα νιώθουν έτοιμες. Να τις φορτώσουμε, μήπως, ενοχές και γι΄αυτό; #MeToo https://t.co/CVDzcVh2Fy",,,"Δημοσιογράφος, μέλος Κεντρικής Επιτροπής ΣΥΡΙΖΑ, πρώην βουλεύτρια Β΄Αθήνας",Twitter Web App,el,1355457140031451136
geop1890,2021-01-30T10:01:17Z,Ευτυχώς δεν υπάρχει σεξουαλική παρενόχληση στις παρουσιάστριες της τηλεόρασης γιατί θα είχε γίνει χαμός!! #μπεκατώρου #Κιμουλης #ΖεταΔουκα  #Σπυροπουλος #MeToo,,,,Twitter for Android,el,1355456040867917824
EvaMprousko,2021-01-30T09:59:53Z,"Να καθαρίσει ο χώρος, γιατί το θέατρο είναι ένας χώρος τόσο ωραίος και σημαντικός και τέτοιο άνθρωποι τον βρωμίζουν! Είμαστε όλοι μαζί με τις γυναίκες και τους άντρες που τους ασκήθηκε βία σε οποιαδήποτε μορφή!!! #MeToo #elaxamogela",,,Capricorn ♑️,Twitter for iPhone,el,1355455686214344705
KaterinaXinti,2021-01-30T09:57:14Z,"Έπεσαν οι μάσκες την εποχή που έγιναν υποχρεωτικές... ! 

#Justice #Now
#MeToo",,,actress,Twitter for Android,el,1355455019957555201
