screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
sofia_tzani,2021-07-31T18:46:52Z,τι λεει εγω ημουν μαγκας δεν μ αγγιζε; #Μπαρμπα με τεστοστερονη...https://t.co/h9gVgB2dC8 καρμπον καταδικη τηλεδικαστηριων! εδω μμε αθωωσαν #Φιλιππιδης κ #Λιγναδης κανονικα #κιμουλης,,,,Twitter Web App,el,1421542899104292867
Anilikos,2021-07-31T17:50:57Z,"Μόνο άψογος στη σκηνοθετική άποψη του Κιμούλη; Όχι σε άλλα ενδιαφέροντα; Ποδόσφαιρο ας πούμε;

Ωραίο μου πλυντήριο

Γιώργος Γιαννόπουλος: «Ο Κιμούλης εμένα γιατί δεν μου φώναξε ποτέ σε παράσταση;» | https://t.co/EbqGMbLlSm https://t.co/QRAC0RkYYj",,,"Chef de partie, Writer. Translator, Wordsmith",Twitter Web App,el,1421528827168178190
ftn5ftn,2021-07-31T17:49:57Z,"Επειδή είσαι του ιδίου φυραματος.
Γιώργος Γιαννόπουλος: «Ο Κιμούλης εμένα γιατί δεν μου φώναξε ποτέ σε παράσταση;»",,,"Πετάω τσόκαρα σε:
1. Φασίστες-ρατσιστές-ομοφοβικούς
2. Πληρωμένα τρολ
3. Σε ηλίθιους όταν μου σπάνε τα νεύρα
4. Τώρα και σε ζευγάρι",Twitter for Android,el,1421528575765852167
entermessinia,2021-07-31T17:39:23Z,Γιώργος Γιαννόπουλος: Ο Κιμούλης εμένα γιατί δεν μου φώναξε ποτέ σε παράσταση; - https://t.co/vQR21YKoCT https://t.co/Eij5EpXEsL,,,"24/7 news & lifestyle from Kalamata, Messinia and Greece",entermessinia,el,1421525916023394307
Makeleio_gr,2021-07-31T16:29:04Z,Ο Γιώργος Γιαννόπουλος ξαναχτυπά: «Εμένα γιατί δεν μου φώναξε ποτέ ο Κιμούλης»; https://t.co/4FxQ036R1v https://t.co/b9C3zIuAIi,,,Μακελειό | Το Site των Μεγάλων αποκαλύψεων,dlvr.it,el,1421508221332688897
tlifegr,2021-07-31T14:17:09Z,"“Ο Κιμούλης εμένα γιατί δεν μου φώναξε ποτέ σε παράσταση;”
 https://t.co/8Mg2WNmW1A",,,The female side of life,Twitter Web App,el,1421475019453091843
Theodore_Makris,2021-07-31T14:03:28Z,"Πέτρος Φιλιππίδης: Σοκάρει η εικόνα του έπειτα από τρία βράδια στη φυλακή – «Δεν μιλά σε κανέναν» - Vavanta https://t.co/KmrM7IybuU 

#Φιλιππιδης #γυναικοκτονια #καυσωνας #Δαφνη #kalokairiNot #ιωαννιδου #metooGR #κιμουλης #Χαικαλης #λιγναδης #vavanta",,,Θα Σε Σκίτσο Ρε!,Twitter Web App,el,1421471578244648963
Bizznews,2021-07-31T10:04:36Z,Ο Κιμούλης εμένα γιατί δεν μου φώναξε ποτέ σε παράσταση; Γιατί ήμουν άψογος - https://t.co/riHCWeK4oP https://t.co/ZzznBWs3gj,,,ΠΡΟΣΟΧΗ...ΤΣΙΜΠΑΕΙ!,Bizznews.gr,el,1421411465169354752
VradiniGr,2021-07-31T09:51:20Z,"«Μην παρεξηγηθώ. Δεν λέω ότι ήταν λάθος οι καταγγελίες», τονίζει ο ηθοποιός #metooGR #MeToo #Κιμουλης 

https://t.co/fjrXARIpws",,,,Twitter Web App,el,1421408125492551680
entermessinia,2021-07-31T09:31:20Z,Ο Κιμούλης εμένα γιατί δεν μου φώναξε ποτέ σε παράσταση; Γιατί ήμουν άψογος - https://t.co/cqr8pp1CuK https://t.co/rrw3j53YFQ,,,"24/7 news & lifestyle from Kalamata, Messinia and Greece",entermessinia,el,1421403091484741632
