screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
EnergyInGR,2021-08-18T07:13:33Z,"Οι Οικολόγοι ΠΡΑΣΙΝΟΙ στα καμένα: Πελοπόννησος και Βόρεια Εύβοια: Στις πληγείσες από τις πυρκαγιές περιοχές της Βόρειας Εύβοιας πραγματοποίησαν επίσκεψη το Σάββατο 13 Αυγούστου τα στελέχη των Οικολόγων Πράσινων Έλενα Μπότση, Συνεκπρόσωπος, Χριστίνα… https://t.co/fbcbIAMKeE",,,"Η υπεύθυνη πηγή ενημέρωσης για το χώρο της ενέργειας. Φωτοβολταϊκά, φυσικό αέριο, ηλεκτρισμός, καύσιμα, ΑΠΕ κ.α.",dlvr.it,el,1427891399781879808
thetimesgr,2021-08-18T04:33:14Z,Τζένη Μπότση: Φωτογραφίζει την κόρη της Αλίκη στις διακοπές τους στην Ικαρία https://t.co/qXSgLRO4dG #greece #greeknews #greek,,,,ContentStudio.io,el,1427851057561051137
sofokleous10,2021-08-18T04:27:30Z,Τζένη Μπότση: Φωτογραφίζει την κόρη της Αλίκη στις διακοπές τους στην Ικαρία https://t.co/ER1V4uJb2l,,,"NEWS/MEDIA COMPANY
Για έγκαιρη και έγκυρη Οικονομική Ενημέρωση....  
Δείτε επίσης:
https://t.co/5QARLNWjPK 
https://t.co/oEbLO7uzZz
https://t.co/wocLZJWArW
https://t.co/dVSc6TQANw",ContentStudio.io,el,1427849611784380417
HarisLebidakis,2021-08-18T04:19:14Z,Στιγμές ευτυχίας για την Τζένη Μπότση με την κόρη της στην Ικαρία | NewsPistol - Ειδήσεις με υπογραφή. Χάρης Λεμπιδάκης. https://t.co/TAeXYrOFCH,,,,Twitter Web App,el,1427847532068147201
akis_tsakiris,2021-08-17T21:08:43Z,"""Γνώριζα την περίπτωση της Τζένης Μπότση. Είχα ακούσει και για άλλες περιπτώσεις"", αποκαλύπτει ο Κώστας Φραγκολιάς

https://t.co/qhyRfyzXHK",,,Blogger  ✪ PR Professional ✪ Radio Producer ✪ Journalist ✪ Editor in Chief @ https://t.co/Ix3BJpEFu0,Hootsuite Inc.,el,1427739187835543553
wwwstargr,2021-08-17T18:49:48Z,"Τις καλοκαιρινές της διακοπές στην Ικαρία απολαμβάνει η Τζένη Μπότση μαζί με την οικογένεια της, ποστάροντας φωτογραφίες της μικρή Αλίκης, της κορούλας της #StarGrLifestyle https://t.co/LTMOGOxuqq",,,"https://t.co/3sSPfZktbx για ό,τι σε αφορά
➡Με ένα κλικ μάθε ό,τι συμβαίνει στην Ελλάδα και τον Κόσμο. Διάβασε Lifestyle νέα, 📽δες video, άκουσε 🎙Podcasts, παίξε ❓Quiz",Echobox,el,1427704230966611970
FTHISGR,2021-08-17T16:30:33Z,"Τζένη Μπότση: Φωτογραφίζει στο Instagram την κόρη της, Αλίκη https://t.co/BuahWF4pSD",,,"Follow this... Για να είσαι πάντα μπροστά!
➡️ Κατέβασε δωρεάν την εφαρμογή του FTHIS από το Google Play ή το App Store για να είσαι πάντα ενημερωμένος!",Twitter Web App,el,1427669186340433922
MegaTvOfficial,2021-08-12T16:02:16Z,"Ο Βασίλης Κούκουρας , η Τζένη Μπότση και η  Αντιγόνη Νάκα προετοιμάζονται για την ορμητική είσοδο τους στο #MegaNeoProgramma! 
#SympetheroiAptaTirana  #ToMegaToKalo 🤵👰 https://t.co/Eg78DLllKq",,,MEGA TV OFFICIAL TWITTER account https://t.co/f0xS5njdxU,Hootsuite Inc.,el,1425850130087952386
AnnitaStephanou,2021-08-09T09:36:00Z,Ραγίζει καρδιές η ανάρτηση της Τζένης Μπότση για το σπίτι της που κάηκε https://t.co/aEgIHY8nLg,,,"Labour Inspector - Department of Labour Inspection 
Electrical Engineering, Sociology
Owner at CAussie Wear and AS iT HapPenS planning&organizing",Twitter Web App,el,1424665759729471492
enikolopoulou,2021-08-08T18:00:12Z,Συγκινεί η Τζένη Μπότση με το μήνυμα στην κόρη της: «Πονάει η ψυχή μου… και σκίζεται όταν σκέφτεται ότι δεν θα έχεις μνήμες...» (φωτό) https://t.co/d5kJaVuvhd,,,tv Journalist Newscaster  -Founder https://t.co/r6NsO6Id4p https://t.co/y4gVcP1qh0,Hootsuite Inc.,el,1424430256568643585
